date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:11:33	8799/8799	---M--	200	added ('OK')	text/html	etag:%2262f4ad09-225f%22	https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/index.html	D:/Documentos/Mis%20lugares%20web/Sensores/WEB/HTML/INDEX.HTM	(from )
17:11:33	153/153	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202024%2016:11:31%20GMT	https://ead.murciaeduca.es/robots.txt		(from )
17:11:34	10627/10627	---M--	200	added ('OK')	text/css	etag:%22614450fc-2983%22	https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/base.css	D:/Documentos/Mis%20lugares%20web/Sensores/WEB/CSS/BASE.CSS	(from https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/index.html)
17:11:34	21457/21457	---M--	200	added ('OK')	text/css	etag:%225f319534-53d1%22	https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/content.css	D:/Documentos/Mis%20lugares%20web/Sensores/WEB/CSS/CONTENT.CSS	(from https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/index.html)
17:11:35	5563/5563	---M--	200	added ('OK')	text/css	etag:%225f319536-15bb%22	https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/nav.css	D:/Documentos/Mis%20lugares%20web/Sensores/WEB/CSS/NAV.CSS	(from https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/index.html)
17:11:35	318/318	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2257698fdc-13e%22	https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/favicon.ico	D:/Documentos/Mis%20lugares%20web/Sensores/WEB/ICO/FAVICON.ICO	(from https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/index.html)
17:11:36	92596/92596	---M--	200	added ('OK')	application/x-javascript	etag:%2257837d9d-169b4%22	https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/exe_jquery.js	D:/Documentos/Mis%20lugares%20web/Sensores/WEB/JS/EXE_JQUE.JS	(from https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/index.html)
17:11:36	679/679	---M--	200	added ('OK')	application/x-javascript	etag:%225e409182-2a7%22	https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/common_i18n.js	D:/Documentos/Mis%20lugares%20web/Sensores/WEB/JS/COMMON_I.JS	(from https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/index.html)
17:11:37	38682/38682	---M--	200	added ('OK')	application/x-javascript	etag:%225ffdd9cb-971a%22	https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/common.js	D:/Documentos/Mis%20lugares%20web/Sensores/WEB/JS/COMMON.JS	(from https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/index.html)
17:11:37	3137/3137	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f1b-c41%22	https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.5/latest.js?config=default	D:/Documentos/Mis%20lugares%20web/Sensores/WEB/JS/LATESTA4.JS	(from https://ead.murciaeduca.es/pluginfile.php/1432527/mod_resource/content/1/DAM_PMDM10_Contenidos/index.html)
