date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:37	9179/9179	---M--	200	added ('OK')	text/html	etag:%2262985c57-23db%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/index.html	(from )
17:24:37	153/153	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jan%202024%2016:24:36%20GMT	https://ead.murciaeduca.es/robots.txt		(from )
17:24:37	10118/10118	---M--	200	added ('OK')	text/css	etag:%225d8ddfe7-2786%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/base.css	D:/Documentos/Mis%20lugares%20web/SGE05/web/css/base.css	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:38	21457/21457	---M--	200	added ('OK')	text/css	etag:%225f319534-53d1%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/content.css	D:/Documentos/Mis%20lugares%20web/SGE05/web/css/content.css	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:38	5563/5563	---M--	200	added ('OK')	text/css	etag:%225f319536-15bb%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/nav.css	D:/Documentos/Mis%20lugares%20web/SGE05/web/css/nav.css	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:38	318/318	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2257698fdc-13e%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/favicon.ico	D:/Documentos/Mis%20lugares%20web/SGE05/web/ico/favicon.ico	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:38	92593/92593	---M--	200	added ('OK')	application/x-javascript	etag:%2257ebed77-169b1%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/exe_jquery.js	D:/Documentos/Mis%20lugares%20web/SGE05/web/js/exe_jquery.js	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:39	678/678	---M--	200	added ('OK')	application/x-javascript	etag:%225d8ddfe7-2a6%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/common_i18n.js	D:/Documentos/Mis%20lugares%20web/SGE05/web/js/common_i18n.js	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:39	37661/37661	---M--	200	added ('OK')	application/x-javascript	etag:%225d8ddfe5-931d%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/common.js	D:/Documentos/Mis%20lugares%20web/SGE05/web/js/common.js	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:39	11055/11055	---M--	200	added ('OK')	text/html	etag:%2262985c57-2b2f%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/1_tcnicas_y_estndares_modelovistacontrolador.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/1_tcnicas_y_estndares_modelovistacontrolador.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:39	10467/10467	---M--	200	added ('OK')	text/html	etag:%2262985c59-28e3%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/11__especificaciones_tcnicas_para_el_desarrollo_de_componentes.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/11__especificaciones_tcnicas_para_el_desarrollo_de_componentes.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:40	12168/12168	---M--	200	added ('OK')	text/html	etag:%2262985c58-2f88%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/12__especificaciones_funcionales_para_el_desarrollo_de_componentes.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/12__especificaciones_funcionales_para_el_desarrollo_de_componentes.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:40	10490/10490	---M--	200	added ('OK')	text/html	etag:%2262985c58-28fa%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/2__tcnicas_de_optimizacin_de_consultas_y_acceso_a_grandes_volmenes_de_informacin.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/2__tcnicas_de_optimizacin_de_consultas_y_acceso_a_grandes_volmenes_de_informacin.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:40	15181/15181	---M--	200	added ('OK')	text/html	etag:%2262985c5a-3b4d%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/21__operaciones_de_consulta_herramientas.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/21__operaciones_de_consulta_herramientas.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:40	11027/11027	---M--	200	added ('OK')	text/html	etag:%2262985c59-2b13%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/22__sistemas_batch_inputs_generacin_de_programas_de_extraccin_y_procesamiento_de_datos.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/22__sistemas_batch_inputs_generacin_de_programas_de_extraccin_y_procesamiento_de_datos.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:41	14030/14030	---M--	200	added ('OK')	text/html	etag:%2262985c58-36ce%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/3__lenguaje_proporcionado_por_los_sistemas_erpcrm.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/3__lenguaje_proporcionado_por_los_sistemas_erpcrm.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:41	12810/12810	---M--	200	added ('OK')	text/html	etag:%2262985c5b-320a%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/31__caractersticas_y_sintaxis_del_lenguaje.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/31__caractersticas_y_sintaxis_del_lenguaje.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:41	11094/11094	---M--	200	added ('OK')	text/html	etag:%2262985c5a-2b56%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/32__declaracin_de_datos_tipos_bsicos.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/32__declaracin_de_datos_tipos_bsicos.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:41	9773/9773	---M--	200	added ('OK')	text/html	etag:%2262985c57-262d%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/33__estructuras_de_programacin_colecciones.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/33__estructuras_de_programacin_colecciones.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:41	10843/10843	---M--	200	added ('OK')	text/html	etag:%2262985c59-2a5b%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/34__sentencias_del_lenguaje.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/34__sentencias_del_lenguaje.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:42	10138/10138	---M--	200	added ('OK')	text/html	etag:%2262985c59-279a%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/35__llamadas_a_funciones.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/35__llamadas_a_funciones.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:42	9649/9649	---M--	200	added ('OK')	text/html	etag:%2262985c58-25b1%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/36__clases_y_objetos.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/36__clases_y_objetos.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:42	14684/14684	---M--	200	added ('OK')	text/html	etag:%2262985c5a-395c%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/37__mdulos_y_paquetes.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/37__mdulos_y_paquetes.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
17:24:42	10457/10457	---M--	200	added ('OK')	text/html	etag:%2262985c58-28d9%22	https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/38__libreras_de_funciones_apis.html	D:/Documentos/Mis%20lugares%20web/SGE05/web/html/38__libreras_de_funciones_apis.html	(from https://ead.murciaeduca.es/pluginfile.php/1433046/mod_resource/content/1/index.html)
